Place,Competitor,Time,NAT,WorldAthleticsId,100m,200m,300m,400m,500m,600m,700m,800m,900m,1000m,1100m,1200m,1300m,1400m,1500m
1,Jakob Ingebrigtsen,3:32.38,NOR,14653717,15.4,16.0,15.3,14.3,14.1,14.0,14.2,14.1,13.9,13.7,13.7,13.7,13.4,13.3,13.2
2,Josh Kerr,3:32.46,GBR,14533464,14.5,15.9,15.7,15.1,14.1,14.1,14.1,14.2,13.8,13.7,13.7,13.6,13.4,13.2,13.3
3,Cole Hocker,3:32.54,USA,14905834,15.0,16.1,15.0,15.3,14.1,14.1,14.1,14.3,13.6,13.8,13.7,13.6,13.4,13.2,13.2
4,Brian Komen,3:32.57,KEN,15092355,14.5,15.9,15.9,15.3,14.1,14.0,14.1,14.1,13.8,14.0,13.6,13.8,13.2,13.0,13.2
5,Stefan Nillessen,3:32.73,NED,14910032,14.6,16.3,16.0,15.5,13.9,14.1,14.0,14.2,13.7,14.0,13.5,13.9,13.0,12.9,13.1
6,Pietro Arese,3:33.03,ITA,14701882,14.7,16.0,15.8,15.2,14.3,14.0,14.0,14.1,13.8,14.0,13.6,13.9,13.3,13.2,13.1
7,Robert Farken,3:33.35,GER,14597052,14.9,16.0,15.8,15.3,14.2,14.0,14.0,14.2,13.8,13.9,13.7,13.7,13.4,13.0,13.4
8,Isaac Nader,3:34.75,POR,14756630,13.7,17.4,15.6,15.0,14.1,14.1,14.1,14.2,13.7,14.1,13.6,13.7,13.2,13.2,15.0
9,Federico Riva,3:35.26,ITA,14723644,14.8,16.1,15.9,15.3,14.4,14.2,13.9,14.2,13.8,13.9,13.7,13.6,13.3,13.6,14.5
10,Reynold Cheruiyot,3:35.32,KEN,14997479,14.8,15.8,15.7,15.2,14.1,14.1,14.1,14.3,13.7,14.0,13.7,13.7,13.6,13.5,15.0
11,George Mills,3:37.12,GBR,14646350,15.2,15.9,15.8,15.3,14.3,14.1,14.0,14.4,13.9,13.8,13.9,14.0,13.9,14.0,14.6
12,Ermias Girma,3:40.27,ETH,14977658,12.4,18.3,15.8,14.7,14.0,14.1,14.1,14.1,14.1,14.3,14.4,14.8,15.1,15.1,14.9
